Id;Name;StartDate;CreatedAt;Status;Error;EndDate;ConfigType;Provider;ModelName;SpentTokens
248d332b-8a2c-4c32-9b47-a848b2a96acf;PostTagProcessingJob;2026-04-14 05:52:58.186469+00;2026-04-14 05:52:58.186469+00;1;"";2026-04-14 06:09:34.946426+00;Hybrid;Ollama;ilyagusev/saiga_llama3;523044
4acd9799-81c6-4d5f-8a56-94eae15679e3;ClusterCommentTrendProcessingJob;2026-04-14 08:02:48.998447+00;2026-04-14 08:02:48.998447+00;1;"";2026-04-14 08:22:42.024947+00;Hybrid;Ollama;ilyagusev/saiga_llama3;120011
f327b8a3-20ce-4316-92a9-83e6f22e3475;PostTagProcessingJob;2026-04-14 08:28:43.570821+00;2026-04-14 08:28:43.570821+00;1;"";2026-04-14 08:44:26.784366+00;Hybrid;Ollama;ilyagusev/saiga_llama3;509911
2313e399-f2d6-4e8e-9162-c883c2f0af5f;PostTagProcessingJob;2026-04-14 05:07:47.269085+00;2026-04-14 05:07:47.269085+00;1;"";2026-04-14 05:34:32.13997+00;Hybrid;Ollama;ilyagusev/saiga_llama3;481811
41cbf56f-e263-42d2-b340-12987ea9cd52;PostMultipleCommentEmotionalAnalysisProcessingJob;2026-04-14 09:03:52.196539+00;2026-04-14 09:03:52.196539+00;1;"";2026-04-14 10:49:18.439168+00;Hybrid;Ollama;ilyagusev/saiga_llama3;1368168
d1e2cd56-3a2b-430a-8e9c-ac343bf72fb3;PostEmotionalAnalysisProcessingJob;2026-04-14 05:43:40.628348+00;2026-04-14 05:43:40.628348+00;1;"";2026-04-14 06:30:52.040161+00;Hybrid;Ollama;ilyagusev/saiga_llama3;613299
a0477fbf-98fe-4624-8925-ceb806939a20;PostMultipleCommentEmotionalAnalysisProcessingJob;2026-04-14 05:48:57.144601+00;2026-04-14 05:48:57.144601+00;1;"";2026-04-14 06:35:27.074077+00;Hybrid;Ollama;ilyagusev/saiga_llama3;684403
fb4aa137-20cf-4c11-8438-5e6bbd689f29;TelegramPostCommentTrendProcessingJob;2026-04-14 06:16:59.567954+00;2026-04-14 06:16:59.567954+00;3;Остановка приложения;2026-04-14 07:06:59.054176+00;Hybrid;Ollama;ilyagusev/saiga_llama3;285191
3b80f231-916e-49a9-9957-81cd92497431;PostMultipleCommentEmotionalAnalysisProcessingJob;2026-04-14 05:01:05.426715+00;2026-04-14 05:01:05.426715+00;1;"";2026-04-14 05:48:57.140571+00;Hybrid;Ollama;ilyagusev/saiga_llama3;627026
d7a9f882-209b-45f3-a8a3-06c6a4acd135;ClusterMultipleCommentEmotionalAnalysisProcessingJob;2026-04-14 10:06:58.187138+00;2026-04-14 10:06:58.187138+00;0;"";"";Hybrid;Ollama;ilyagusev/saiga_llama3;726022
b52d1d24-3691-4c88-9c6a-21bf90602e7b;ClusterCommentTrendProcessingJob;2026-04-14 09:44:06.032016+00;2026-04-14 09:44:06.032016+00;1;"";2026-04-14 10:04:25.435526+00;Hybrid;Ollama;ilyagusev/saiga_llama3;134724
3efd9e1e-da90-4f9a-93b3-d131df0d49bc;PostEmotionalAnalysisProcessingJob;2026-04-14 10:42:50.19697+00;2026-04-14 10:42:50.19697+00;0;"";"";Hybrid;Ollama;ilyagusev/saiga_llama3;302760
55a14481-bfbd-4bf5-90c4-3e3dfaaa4afd;ClusterCommentTrendProcessingJob;2026-04-14 09:03:37.408522+00;2026-04-14 09:03:37.408522+00;1;"";2026-04-14 09:21:47.923328+00;Hybrid;Ollama;ilyagusev/saiga_llama3;118087
95e5ae21-a675-42f1-b188-21d1351d91d4;TelegramPostCommentTrendProcessingJob;2026-04-14 08:52:50.074212+00;2026-04-14 08:52:50.074212+00;1;"";2026-04-14 10:29:56.784997+00;Hybrid;Ollama;ilyagusev/saiga_llama3;702591
8b35eb53-8cb2-40a9-8ebc-1d8bd0def6db;ClusterMultipleCommentEmotionalAnalysisProcessingJob;2026-04-14 08:06:57.517212+00;2026-04-14 08:06:57.517212+00;1;"";2026-04-14 09:51:58.24969+00;Hybrid;Ollama;ilyagusev/saiga_llama3;1301000
