Id;Name;StartDate;EndDate;Status;Error;Metrics
18061a84-97c9-4df7-a044-1172f915cef6;PostTagProcessingJob;2026-04-14 09:48:34.353426+00;2026-04-14 10:07:41.819835+00;1;"";"
            Суммарное количество протегированных постов: 1500
            Доля успешных обработок постов: 98.27%
            Доля постов с 2-4 тегами: 1.40%
            Доля постов с 1 тегом: 0.33%
            Доля сломанных постов (0 тегов): 0.00%
            Доля протегированных новых постов за два дня: 77.17%
            Среднее время от появления поста до тегирования: 43.5 мин
            БД:           1.13% / ( 12933 мс / 1521 запросов)
            OpenSearch:   0.26% / (  2987 мс /  69 запросов)
            LLM:         96.02% / (1101757 мс / 1500 запросов)
            Среднее время LLM запроса: 734.5 мс"
f982c3d2-671a-4f36-af3d-ea7541bc210c;ClusterCommentTrendProcessingJob;2026-04-14 09:44:06.030411+00;2026-04-14 10:04:25.252667+00;1;"";"Суммарное количество обработанных инфоповодов: 1000
                    Всего проанализировано комментариев: 8451
                    Среднее количество комментариев на инфоповод: 8.45
                    Количество LLM запросов: 395
                    Суммарное время LLM: 990930 мс
                    Среднее время LLM запроса: 2508.7 мс
                    Доля пустых или слишком коротких трендов (<10 слов): 1.77%"
857f56f3-b3a6-4270-a67b-a3371d5034a9;TelegramPostOpenSearchIndexationJob;2026-04-14 09:37:27.478277+00;"";0;"";""
d503ed15-1835-4a9d-b203-3e2cad8b2fd6;PostTagProcessingJob;2026-04-14 09:32:29.228636+00;2026-04-14 09:48:34.350081+00;1;"";"
            Суммарное количество протегированных постов: 1499
            Доля успешных обработок постов: 98.47%
            Доля постов с 2-4 тегами: 1.07%
            Доля постов с 1 тегом: 0.40%
            Доля сломанных постов (0 тегов): 0.07%
            Доля протегированных новых постов за два дня: 76.33%
            Среднее время от появления поста до тегирования: 24.8 мин
            БД:           1.48% / ( 14270 мс / 1521 запросов)
            OpenSearch:   0.35% / (  3361 мс /  69 запросов)
            LLM:         94.42% / (911282 мс / 1500 запросов)
            Среднее время LLM запроса: 607.5 мс"
d4722753-5318-42b8-91d4-eb004ad75d15;ClusterizationJob;2026-04-14 09:31:57.464559+00;2026-04-14 09:31:57.470753+00;1;"";""
"043f58c9-d57b-4493-af55-e3f61062dee6";ClusterCommentTrendProcessingJob;2026-04-14 09:21:47.927428+00;2026-04-14 09:44:05.900424+00;1;"";"Суммарное количество обработанных инфоповодов: 1000
                    Всего проанализировано комментариев: 8451
                    Среднее количество комментариев на инфоповод: 8.45
                    Количество LLM запросов: 395
                    Суммарное время LLM: 1069600 мс
                    Среднее время LLM запроса: 2707.8 мс
                    Доля пустых или слишком коротких трендов (<10 слов): 2.53%"
256c1bae-9942-4306-9bb8-47c8d598331f;PostTagProcessingJob;2026-04-14 09:15:32.95622+00;2026-04-14 09:32:29.224858+00;1;"";"
            Суммарное количество протегированных постов: 1500
            Доля успешных обработок постов: 98.40%
            Доля постов с 2-4 тегами: 1.20%
            Доля постов с 1 тегом: 0.40%
            Доля сломанных постов (0 тегов): 0.00%
            Доля протегированных новых постов за два дня: 75.43%
            Среднее время от появления поста до тегирования: 25.6 мин
            БД:           1.29% / ( 13158 мс / 1521 запросов)
            OpenSearch:   0.32% / (  3302 мс /  69 запросов)
            LLM:         94.90% / (964421 мс / 1500 запросов)
            Среднее время LLM запроса: 642.9 мс"
70da35e0-759f-4363-b336-f722ba226632;ClusterizationJob;2026-04-14 09:11:57.510341+00;2026-04-14 09:11:57.523468+00;1;"";""
a4e707d8-b8c6-47a1-9eac-8cfd39ea83bd;TelegramProcessingJob;2026-04-14 09:06:57.378273+00;2026-04-14 09:33:46.315036+00;1;"";"Количество активных источников для сбора: 7 269
Количество полностью обработанных источников: 6 260
Количество источников к которым было подключение: 6 258
Общее количество использованных аккаунтов: 145
Суммарное количество новых постов: 5 407
Суммарное количество всех постов: 223 093
Суммарное количество смен прокси: 15
Количество уникальных прокси: 4
Среднее количество источников на один прокси: 2 033,5
Медианный пинг прокси: 4 мс
Доля источников со сменой прокси: 0,0%"
9e83e30b-95bf-4cab-b239-cd2e643d9f44;PostMultipleCommentEmotionalAnalysisProcessingJob;2026-04-14 09:03:52.195257+00;2026-04-14 10:49:18.123601+00;1;"";"Суммарное количество обработанных постов: 2469
Среднее количество комментариев на один пост: 10.00
Среднее время LLM запроса (мс): 2230.88
Суммарное время выполнения всех LLM-запросов (мс): 5508035.00 мс
Общее количество выполненных LLM-запросов: 2469"
d09197cb-5d02-4329-9904-628d56458b97;ClusterCommentTrendProcessingJob;2026-04-14 09:03:37.406896+00;2026-04-14 09:21:47.807911+00;1;"";"Суммарное количество обработанных инфоповодов: 1000
                    Всего проанализировано комментариев: 8441
                    Среднее количество комментариев на инфоповод: 8.44
                    Количество LLM запросов: 395
                    Суммарное время LLM: 978537 мс
                    Среднее время LLM запроса: 2477.3 мс
                    Доля пустых или слишком коротких трендов (<10 слов): 3.04%"
bf0d99ec-0024-4b43-bcae-e86b12b27c0b;PostEmotionalAnalysisProcessingJob;2026-04-14 09:01:03.516311+00;2026-04-14 09:50:12.335757+00;1;"";"Суммарное количество обработанных постов: 1500
                            Доля постов с очень коротким текстом (<5 слов): 433 (28.87%)
                            Среднее время LLM запроса: 1918.1 мс
                            Суммарное время всех LLM запросов: 2877187 мс
                            Общее количество LLM запросов: 1500"
edd739a8-80c9-4c43-acee-f4cc2edafa54;PostTagProcessingJob;2026-04-14 08:59:28.258819+00;2026-04-14 09:15:32.948829+00;1;"";"
            Суммарное количество протегированных постов: 1500
            Доля успешных обработок постов: 98.80%
            Доля постов с 2-4 тегами: 0.93%
            Доля постов с 1 тегом: 0.27%
            Доля сломанных постов (0 тегов): 0.00%
            Доля протегированных новых постов за два дня: 76.40%
            Среднее время от появления поста до тегирования: 50.4 мин
            БД:           1.48% / ( 14274 мс / 1521 запросов)
            OpenSearch:   0.31% / (  3028 мс /  69 запросов)
            LLM:         96.12% / (927263 мс / 1500 запросов)
            Среднее время LLM запроса: 618.2 мс"
169ee846-4dc8-427e-bc15-5108231623b5;TelegramPostCommentTrendProcessingJob;2026-04-14 08:52:50.072814+00;2026-04-14 10:29:56.581362+00;1;"";"Суммарное количество обработанных постов: 1986
                    Среднее количество комментариев на один пост: 7.42
                    Общее количество постов для всех отслеживаний:346048
                    Доля пустых или слишком коротких трендов (<10 слов): 57 (2.87%)
                    Среднее время LLM запроса: 2560.4 мс
                    Суммарное время всех LLM запросов: 5084952 мс
                    Общее количество LLM запросов: 1986"
b9b39fb7-1fe0-4cc3-bc3d-324ba639e638;ClusterizationJob;2026-04-14 08:51:57.51893+00;2026-04-14 08:51:57.524937+00;1;"";""
750c41ba-1faa-4e5d-bfc6-328815657165;ClusterCommentTrendProcessingJob;2026-04-14 08:45:11.043877+00;2026-04-14 09:03:37.260499+00;1;"";"Суммарное количество обработанных инфоповодов: 1000
                    Всего проанализировано комментариев: 8441
                    Среднее количество комментариев на инфоповод: 8.44
                    Количество LLM запросов: 395
                    Суммарное время LLM: 856850 мс
                    Среднее время LLM запроса: 2169.2 мс
                    Доля пустых или слишком коротких трендов (<10 слов): 1.77%"
b595b462-cfa8-4f6f-991e-53bbe68b1de5;PostTagProcessingJob;2026-04-14 08:44:26.785502+00;2026-04-14 08:59:28.254533+00;1;"";"
            Суммарное количество протегированных постов: 1500
            Доля успешных обработок постов: 98.60%
            Доля постов с 2-4 тегами: 1.07%
            Доля постов с 1 тегом: 0.33%
            Доля сломанных постов (0 тегов): 0.00%
            Доля протегированных новых постов за два дня: 76.28%
            Среднее время от появления поста до тегирования: 33.2 мин
            БД:           1.24% / ( 11192 мс / 1521 запросов)
            OpenSearch:   0.33% / (  2969 мс /  69 запросов)
            LLM:         96.82% / (872752 мс / 1500 запросов)
            Среднее время LLM запроса: 581.8 мс"
e7578cf5-c52c-4876-ab09-141d67c51cab;PostTagProcessingJob;2026-04-14 08:28:43.568993+00;2026-04-14 08:44:26.782315+00;1;"";"
            Суммарное количество протегированных постов: 1499
            Доля успешных обработок постов: 98.33%
            Доля постов с 2-4 тегами: 1.13%
            Доля постов с 1 тегом: 0.47%
            Доля сломанных постов (0 тегов): 0.07%
            Доля протегированных новых постов за два дня: 75.34%
            Среднее время от появления поста до тегирования: 23.1 мин
            БД:           1.46% / ( 13752 мс / 1521 запросов)
            OpenSearch:   0.35% / (  3318 мс /  69 запросов)
            LLM:         96.44% / (909588 мс / 1500 запросов)
            Среднее время LLM запроса: 606.4 мс"
